Export des établissement correspondant à  la rubrique est  2510 ;;;;;;;;;;;;;;;;;;
BASE;NUMERO;NOM;NOM USUEL;ADR EXPL 1;ADR EXPL 2;COMMUNE EXPL;DEPARTEMENT EXPL;ADR ADM 1;ADR ADM 2;COMMUNE ADM;CP ADM;BUREAU EXPEDITEUR;REGIME;REGIME SEVESO;ETAT ACTIV.;SIRET;LAMBERT 2 X;LAMBERT 2 Y
55;3226;AUFFRET-MAURICE SARL;AUFFRET-MAURICE;PONT BLANC;;PRIZIAC;56;SARL AUFFRET-MAURICE;Vetveur;LANVENEGEN;56320;LANVENEGEN;A;NS - NON SEVESO;En fonctionnement;48811717700011;167417;2357372
61;1320;PAGE ERIC SARL;ERIC PAGE SARL;BRAILLE OUEST;;VILLEREST;42;BRAILLE OUEST;;VILLEREST;42300;VILLEREST;A;NS - NON SEVESO;En fonctionnement;38906693000010;729098;2111748
64;1379;CHAUX DE LA TOUR ;CARRIERE CHAUX DE LA TOUR ;1, chemin des Chaux de la Tour;;ENSUES LA REDONNE;13;1 chemin des Chaux de la Tour;;LA REDONNE;13820;ENSUES LA REDONNE;A;NS - NON SEVESO;En fonctionnement;57262114200023;830744;1822385
61;829;BERTRAND PERE & FILS SARL;BERTRAND PERE & FILS SARL;LE CORNU;;BOUVESSE QUIRIEU;38;LE CORNU;;BOUVESSE QUIRIEU;38390;BOUVESSE QUIRIEU;;NS - NON SEVESO;A l'arrêt;593613912;839298;2093077
55;14;BINIC (SARL CARRIERES DE);BINIC (SARL CARRIERES DE);Moulin de Cullerette;;BINIC;22;Moulin de Cullerette;;BINIC;22520;BINIC;A;NS - NON SEVESO;En fonctionnement;349877712;216998;2413164
62;3925;DIER (sous le Moulin);DIER (sous le Moulin);sous le Moulin;;HAUCONCOURT;57;;;HAUCONCOURT;57280;HAUCONCOURT;;NS - NON SEVESO;Récolement fait;357800366;880413;2474704
72;8686;TERREAL - Roumazières Loubert;"TERREAL-Roumazières""Pièces des Vergnes""";Lieux-dits Pièce des Vergnes et Beaulieu;;ROUMAZIERES LOUBERT;16;13-17 rue Pagès;;SURESNES;92150;SURESNES;;NS - NON SEVESO;En construction;56211034600227;;
66;65;Carrière PERO Jean-Louis CARLIPA;Carrière PERO Jean-Louis CARLIPA;La Rouzillaire;;CARLIPA;11;Exploitant de carrière;rue Pignier;CARLIPA;11170;CARLIPA;A;NS - NON SEVESO;En fonctionnement;775784416;583562;1811178
61;1664;SN CARRIERES ORNEMENTALES DE MAURIENNE;CARRIERES ORNEMENTALES DE MAURIENNE SN;ROCHER DU CHATEL;;SOLLIERES SARDIERES;73;ROCHER DU CHATEL;;SOLLIERES SARDIERES;73500;SOLLIERES SARDIERES;A;NS - NON SEVESO;En fonctionnement;414397877;950365;2037101
100;3471;ETS MINIER;ETS MINIER;DERRIERE LONGPRE;;SOUGE;41;;;SOUGE;41800;SOUGE;;NS - NON SEVESO;A l'arrêt;;479624;2309100
61;1752;LANVERS EDOUARD;LANVERS EDOUARD;SUR LES CRETS;;CHENS SUR LEMAN;74;SUR LES CRETS;;CHENS SUR LEMAN;74140;CHENS SUR LEMAN;;NS - NON SEVESO;A l'arrêt;795871243;902498;2154977
61;500;GOURDOL JEAN LUC;GOURDOL JEAN LUC;PIERRE BLANCHE;;AMBONIL;26;PIERRE BLANCHE;;AMBONIL;26800;AMBONIL;;NS - NON SEVESO;A l'arrêt;351138466;803302;1980442
61;1426;SOREAL;SOREAL;SAONE PK 57,5-58,8;;TAPONAS;69;SAONE PK 57,5-58,8;;TAPONAS;69220;TAPONAS;;NS - NON SEVESO;A l'arrêt;573780707;787498;2127377
69;501;EGD Jean Yves PREVOT;illicite EGD Jean Yves PREVOT;;;PARIS 01;75;;;;;;;NS - NON SEVESO;A l'arrêt;;;
62;4158;SOCIETE VOSGES ENROBES;SOCIETE VOSGES ENROBES;Prairie de Vouau;;ST NABORD;88;Saint Nabord Longuet;;ST NABORD;88200;ST NABORD;;NS - NON SEVESO;Récolement fait;722044740;914562;2345550
61;1903;SOCAVA;SOCAVA;LES QUEVETS;ROUTE SERRA;ST JEOIRE;74;Vers le Câble ;ROUTE SERRA;ST JEOIRE;74490;ST JEOIRE EN FAUCIGNY;A;NS - NON SEVESO;En fonctionnement;606320752;921470;2133800
61;201;GRANULATS RHONE ALPES;GRANULATS RHONE ALPES;LA GARENNE;;LOYETTES;1;LA GARENNE;;LOYETTES;1360;LOYETTES;;NS - NON SEVESO;A l'arrêt;768200255;823198;2090177
221;293;STP (Papin);STP (Papin);;;PARIS 01;75;;;;;;NC;NS - NON SEVESO;Récolement fait;;;
100;2390;GRIVAL;GRIVAL;LE RIVAGE;;MORNAY SUR ALLIER;18;;;MORNAY SUR ALLIER;18600;MORNAY SUR ALLIER;;NS - NON SEVESO;A l'arrêt;32216186000018;653494;2202068
61;1836;ENTR G. COUDRET;ENTR G. COUDRET;AUX VERDANNES;;MARGENCEL;74;AUX VERDANNES;;MARGENCEL;74200;MARGENCEL;;NS - NON SEVESO;A l'arrêt;796180644;915098;2156877
69;564;illicite ADL TP;illicite ADL TP;"lieu-dit ""Bois Sec""";;GOYAVE;971;"lieu-dit ""Bois Sec""";;GOYAVE;97128;GOYAVE;;NS - NON SEVESO;Récolement fait;40218663900025;0;0
70;81;COTRAV;COTRAV;199 FOSSE 1 CRESPIN;;QUIEVRECHAIN;59;;;BLANC MISSERON;59920;QUIEVRECHAIN;;NS - NON SEVESO;Récolement fait;328187471;694096;2600335
70;350;Carrière de M. DEMAREST Francis;Carrière de M. DEMAREST Francis;LE CAMP DU PRIEUR;;QUOEUX HAUT MAINIL;62;;;QUOEUX HAUT MAINIL;62390;QUOEUX HAUT MAINIL;;NS - NON SEVESO;Récolement fait;31498337000011;583654;2589296
63;433;TPPL ;TPPL - Vivy;BOIS DES MONTEAUX;;VIVY;49;23 rue du Bocage;;MOZE SUR LOUET;49610;MOZE SUR LOUET;A;NS - NON SEVESO;En fonctionnement;6520033900037;415487;2261620
67;214;COMMUNE DE BALTZENHEIM;COMMUNE DE BALTZENHEIM;WACK;ZERC1;BALTZENHEIM;68;;;BALTZENHEIM;68320;BALTZENHEIM;A;NS - NON SEVESO;Récolement fait;216800193;987868;2357279
57;641;BOULOGNE Hauteville  Les Paqui;BOULOGNE Hauteville  Les Paqui;LES PAQUIS;;HAUTEVILLE;51;Route des Moeslains;;ST DIZIER;52100;ST DIZIER;;NS - NON SEVESO;Récolement fait;517080198;777934;2406345
66;3522;SARL TECHNI-LAUZE - BOULARD Bernard;CARRIERE TECHNI-LAUZE LACHAMP;Montchiroux;;LACHAMP;48;Montchiroux;;LACHAMP;48100;LACHAMP;A;NS - NON SEVESO;En fonctionnement;40871005100017;682004;1956865
61;1905;CONSEIL GEN. DE LA HTE SAVOIE;CONSEIL GEN. DE LA HTE SAVOIE;LA COURTOISE;;ST JEOIRE;74;LA COURTOISE;;ST JEOIRE;74490;ST JEOIRE EN FAUCIGNY;;NS - NON SEVESO;A l'arrêt;859;918398;2134777
61;1651;OUVRIER BUFFET PAUL (SARL);OUVRIER BUFFET PAUL (SARL);LES GLIERES;;ST NICOLAS LA CHAPELLE;73;LES GLIERES;;ST NICOLAS LA CHAPELLE;73590;ST NICOLAS LA CHAPELLE;;NS - NON SEVESO;A l'arrêt;76720259;923498;2098577
58;286;CARRIERES DES TROIS VALLEES;C3V (ex GARCIA) C2;Lieu-dit La Corne du Cerf;;YVILLE SUR SEINE;76;Lieu-dit La Corne du Cerf;;;;;A;NS - NON SEVESO;En fonctionnement;39941651000010;494390;2491316
