Identifiant	Nom	N° Siret	Département	CP	Commune	N° Gidic	X-Lambert-93	Y-Lambert-93	Année début	Année fin	Activité	Raison sociale	Date fin arrêté	Substance	Année1	Année2	Explosifs
																	
268	LHOTELLIER		80	80618	PENDE		597861.48	7009886.78	1990	2005	Non	CARRIERES DU CENTRE MANCHE	29 12 2003				
740	Pétoreau, Champ Luneau, L'Ouche de Chez Moreau		17	17266	LES NOUILLERS	072.05920	418795.92	6543448.25	1991	2006	Non	SEC-TP	31 12 2025	Roche calcaire	1991	2006	
837	Les Mauds		17	17444	THENAC	072.01932	413442.69	6514507.54	1992	2022	Non	CTS SA CARRIERES DE THENAC ET SAINTONGE	30 09 2003	Calcaire crayeux	1992	2022	
862	Le Taupier Sud, Les Nouves		17	17243	MONTLIEU-LA-GARDE	072.00882	442890.78	6462764.69	1985		Non	SOCIETE DES ARGILES ET MINERAUX AGS	16 04 2000	Kaolinite	1985	2000	
882	La Croix de Nadeau		17	17167	LE FOUILLOUX	072.01727	453338.82	6460686.54	2000	2015	Oui	AGS-BMP	31 01 2015	Kaolinite	2000	2015	
893	Bois de Chazelle		17	17386	SAINT-PIERRE-DU-PALAIS		453572.69	6455048.05	1976	1979	Non	AGS	30 09 2003	Kaolinite			
901	Les Vats		14	14001	ABLON	053.00064	503118.50	6926133.05	1981	2008	Non	LE FOLL	27 02 1998	Craie	1981	2007	
909	Le Mont Tornu		14	14074	BILLY	053.00057	467695.44	6893301.53	1976	2030	Oui	CGB CARRIERES DE BILLY LE BARON JEAN FRANCOIS	04 05 2030	Roche calcaire	1976	2029	
911	Les Aucrais Site 2		14	14145	CAUVICOURT	053.00056	461100.54	6887115.17	1990	2028	Oui	CARMEUSE FRANCE GSM REGION SEINE LITTORAL	14 05 2028	Roche calcaire	1973	2027	
913	Fours à chaux		14	14194	COURTONNE-LES-DEUX-EGLISES	053.00046	510169.17	6889545.31	1973	2033	Oui	CARBONATES DE CHAUX	12 01 2034	Marne	1973	2033	
916	Les Pérelles		14	14228	DOUVRES-LA-DELIVRANDE	053.00053	453217.95	6914262.36	1993	2015	Non	LE TELLIER	30 11 1998	Roche calcaire	2005	2015	
921	Dialan		14	14347	JURQUES	053.00075	426442.12	6884132.91	1974	2034	Oui	LE FOLL LES PIERRES DE DIALAN SOCIETE MINIERE ET INDUSTRIELLE DU SMIR ROUGE	02 04 2034	Quartzite	1974	2034	1 Internet
924	DAVID		50	50525	SAINT-MICHEL-DE-MONTJOIE	053.01380	404074.88	6859065.68	1975	2003	Non	ETABLISSEMENTS DAVID	10 10 2003	Granite, granodiorite, etc			
925	La Cote Ronde		14	14460	MOYAUX		509566.27	6904832.01	1983	1998	Non	CHARLES PHILIPPE	11 04 1998	Marne			
931	Osmanville		14	14480	OSMANVILLE		403495.56	6922086.39	1992	2002	Non	SOCIETE DE CARRIERES DE TERRASSEMENT ET D'AMENAGEMENT (FILIALE TOFFOLUTTI)	09 01 2002	Roche calcaire	1992	2002	
936	La Salmonière		14	14559	SAINT-AUBIN-DES-BOIS		395130.16	6866187.31	1989	2004	Non	BEAUFILS	04 06 1996	Schiste	1989	2004	
941	Carrière de Vignats		14	14751	VIGNATS	053.00074	472748.63	6864614.01	1972	2031	Oui	SOCIÉTÉ DES CARRIÈRES DE VIGNATS REDLANDS GRANULATS NORD BALLASTIERES DE TRAVECY VASCO GOBETTA CARRIERES DE LA MEILLERADE	10 07 2031	Quartzite	1974	2031	1 discri
943	La Vache enragée		14	14088	BONS-TASSILLY		464114.32	6877867.69	1900		Non	MUSTIERE	16 05 2005	Roche calcaire			
947	Bretteville sur Laize		14	14160	CINTHEAUX	053.00059	458110.74	6889731.51	1995	2005	Non	ROSSI ROSSI	01 01 2000	Roche calcaire	1995	2004	
950	Les Grandes Carrières		14	14480	OSMANVILLE	053.00055	402582.18	6922296.34	1992	2002	Non	GIRARD ET FOSSEZ ET CIE SOCIETE DE CARRIERES DE TERRASSEMENT ET D'AMENAGEMENT	12 09 2001	Roche calcaire	1992	2001	
953	Les Fours à Chaux		14	14013	ANGOVILLE		452828.51	6877625.68	1993		Non	TP TINEL (SNC)	20 04 1993	Roche calcaire	1993	1993	
963	La Galoberie	37585034400116	50	50179	FERRIERES	053.01344	407919.34	6833260.79	1975	2019	Oui	CARRIERES DES 3 VALLEES PATRICK FOUCHER MAIGNAN MAURICE	10 10 2019	Schiste	1988	2019	
964	S.A. CARRIERES LEROUX-PHILIPPE		50	50196	GATTEVILLE-LE-PHARE	053.01336	390920.90	6963223.51	1989	2004	Non	CARRIERE LEROUX PHILIPPE	30 05 2004	Granite, granodiorite, etc	1989	2004	
966	Les Vallées		50	50037	LA BAZOGE	053.01350	404239.16	6846138.63	1972	2013	Oui	JOEL HARDY COQUEMONT JOSEPH	02 10 1991	Schiste	1989	2013	1 Internet DA
968	Le Moulin Richard	38809979800026	50	50217	LE GRAND-CELLAND	053.01353	392022.46	6852644.08	1973	2015	Oui	LTP LOISEL S.A. SOCIÉTÉ D'EXPLOITATION D'ENTRPRISE DE TP	18 02 2015	Schiste	1973	2015	
970	de Liesville		14	14137	CARPIQUET		448897.83	6904178.53	1993	1993	Non	ENTREPRISE MASTELLOTTO	29 09 1993	Roche calcaire	1993	1993	
975	La Vassière	35315617700027	50	50354	MONTSURVENT	053.01364	370699.83	6899213.36	1973	2038	Oui	CARRIERE BAUDOUIN BAUDOUIN	12 02 2008	Schiste	1973	2037	
980	La Jugannière		50	50409	PONT-HEBERT	053.01369	396607.05	6901296.50	1976	2029	Oui	SOCIÉTÉ L'HERMITTE	02 07 2029	Schiste	1976	2029	
981	Mont Canel		50	50414	PRECORBIN	053.01370	411093.41	6895503.62	1973	2033	Oui	GRENTE YVETTE GRENTE MARCEL	10 03 2033	Schiste	1973	2033	
982	CLEMENT BERNARD		50	50449	SAINT-AUBIN-DU-PERRON		380497.99	6902147.41	1984	1994	Non	CLEMENT BERNARD	28 06 1994	Schiste			
984	CHEMINANT ROGER		50	50487	SAINT-JAMES	053.01375	381973.84	6831386.44	1981	2001	Non	CHEMINANT ROGER	31 03 2001	Granite, granodiorite, etc			
985	SOCIETE LAINE S.A.		50	50487	SAINT-JAMES	053.01376	380942.28	6834457.56	1993	2003	Non	LAINE S.A.	24 01 2003	Schiste	1993	2003	
986	BRUNEL EUGENE		50	50515	SAINT-MARTIN-DE-LANDELLES	053.01377	390691.74	6834390.47	1983	2003	Non	BRUNEL EUGENE	23 01 2003	Granite, granodiorite, etc	1983	2003	
987	JOSEPH RALLIER		50	50515	SAINT-MARTIN-DE-LANDELLES	053.01378	391934.57	6833809.49	1988	2003	Non	JOSEPH RALLIER	26 01 2003	Granite, granodiorite, etc	1988	2003	
989	Chaillou	33188822200022	50	50525	SAINT-MICHEL-DE-MONTJOIE	053.01379	403527.31	6860096.20	1975	2035	Oui	SOCIETE D'EXPLOITATION DES CARRIERES DE MONTJOIE CHATEL CLAUDE SOCIÉTÉ DES CARRIÈRES DE MONTJOIE ET GRANIT BLEU DE VIRE	11 08 2035	Granite, granodiorite, etc	1975	2030	
991	HENRI LEVAVASSEUR		50	50066	JULLOUVILLE		365665.60	6860644.77	1993	1993	Non	HENRI LEVAVASSEUR	29 09 1993	Granite, granodiorite, etc			
992	Le Haut Pignon		50	50540	SAINT-PIERRE-LANGERS	053.01382	372153.94	6862581.54	1984	2009	Oui	CLAUDE RENARD	09 01 2009	Granite, granodiorite, etc	1984	2009	
993	JACQUES SEMERY		50	50540	SAINT-PIERRE-LANGERS	053.05028	371947.56	6862515.05	1974	1994	Non	JACQUES SEMERY	26 06 1994	Granite, granodiorite, etc			
994	Les Vaux de l'Allemagne	406950030	50	50540	SAINT-PIERRE-LANGERS	053.01381	370948.10	6862320.27	1975	2012	Oui	GRANULATS DE BASSE NORMANDIE SOCIETE D'EXPLOITATION DES CARRIERES SOURDINES	28 08 2012	Granite, granodiorite, etc	1975	2012	
